Eruption date;Country;Volcano Name;Location;Tsunami;Earthquake;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Total Effects : Deaths;Coordinates
1280-01-01;Ecuador;Quilotoa;Ecuador;non;non;3914;Caldera;Radiocarbon;6;;;-0.85, -78.9
1540-01-01;United States;Augustine;Alaska-SW;oui;non;1252;Lava dome;Historical;4;;;59.37, -153.42
1864-01-03;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;2;54;54;-7.93, 112.308
1902-08-07;Japan;Tori-shima;Izu Is-Japan;non;non;403;Stratovolcano;Historical;3;125;125;30.48, 140.32
1907-08-04;Ethiopia;Alayta;Africa-NE;non;non;1501;Shield volcano;Historical;2;;;12.88, 40.57
1909-09-01;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;2;221;221;-8.108, 112.92
1963-09-28;Guatemala;Fuego;Guatemala;non;non;3763;Stratovolcano;Historical;3;7;7;14.473, -90.88
1968-04-21;Philippines;Mayon;Luzon-Philippines;non;non;2462;Stratovolcano;Historical;3;6;6;13.257, 123.685
2001-10-20;Italy;Stromboli;Italy;non;non;926;Stratovolcano;Historical;2;1;1;38.789, 15.213
1357-01-01;Iceland;Katla;Iceland-S;non;non;1512;Subglacial volcano;Historical;4;;;63.63, -19.05
1586-01-01;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;5;10000;10000;-7.93, 112.308
1893-05-19;Japan;Azuma;Honshu-Japan;non;non;2024;Stratovolcano;Historical;2;2;2;37.73, 140.25
1918-07-18;Indonesia;Banua Wuhu;Sangihe Is-Indonesia;oui;non;-5;Submarine volcano;Historical;3;;;3.138, 125.491
1970-05-05;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;3;;;63.98, -19.7
1977-04-27;Iceland;Krafla;Iceland-NE;non;non;650;Caldera;Historical;1;;;65.73, -16.78
2015-10-01;New Zealand;Okataina;New Zealand;non;non;1111;Lava dome;Historical;;1;1;-38.12, 176.5
1158-01-19;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;4;;;63.98, -19.7
1329-07-01;Italy;Etna;Italy;non;non;3350;Stratovolcano;Historical;1;;;37.734, 15.004
1646-07-19;Indonesia;Makian;Halmahera-Indonesia;non;non;1357;Stratovolcano;Historical;4;;;0.32, 127.4
1784-01-01;United States;Hualalai;Hawaiian Is;non;non;2523;Shield volcano;Historical;0;;;19.692, -155.87
1820-06-11;Pacific Ocean;Banda Api;Banda Sea;non;non;640;Caldera;Historical;2;;;-4.525, 129.871
